ISO3_Code,Country_Name,M49_Code,Unemployment_2016,Unemployment_2017,Unemployment_2018,Unemployment_2019,Unemployment_2020,Unemployment_Avg
DNK,Denmark,208.0,5.989999771,5.829999924,5.130000114,5.019999981,5.639999866,5.521999931200001
DJI,Djibouti,262.0,26.19300079,26.05999947,26.18899918,26.35700035,28.38999939,26.637799836
DMA,Dominica,212.0,,,,,,
DOM,Dominican Republic,214.0,7.28000021,5.829999924,5.860000134,6.360000134,6.130000114,6.2920001032
ECU,Ecuador,218.0,4.599999905,3.839999914,3.529999971,3.809999943,6.110000134,4.3779999734
EGY,Egypt,818.0,12.40999985,11.73999977,9.819999695,7.840000153,9.166999817,10.195399857000002
SLV,El Salvador,222.0,4.420000076,4.389999866,4.010000229,4.170000076,6.248000145,4.6476000784
GNQ,Equatorial Guinea,226.0,8.62899971,8.647999763,8.623999596,8.678999901,9.901000023,8.8961997986
ERI,Eritrea,232.0,5.90199995,5.94299984,5.947000027,5.993999958,7.864999771,6.330199909199999
EST,Estonia,233.0,6.760000229,5.760000229,5.369999886,4.449999809,6.800000191,5.8280000688
SWZ,Eswatini,748.0,22.71999931,22.75300026,22.79199982,22.83699989,25.50900078,23.322200012000003
ETH,Ethiopia,231.0,2.288000107,2.299000025,2.318000078,2.325999975,3.236999989,2.4936000348
FRO,Faroe Islands,234.0,,,,,,
FJI,Fiji,242.0,4.320000172,4.277999878,4.333000183,4.447999954,4.715000153,4.418800068
FIN,Finland,246.0,8.819999695,8.640000343,7.360000134,6.690000057,7.760000229,7.8540000916
FRA,France,250.0,10.05000019,9.409999847,9.020000458,8.409999847,8.010000229,8.9800001142
PYF,French Polynesia,258.0,12.17700005,12.2130003,12.24800014,12.29599953,14.09599972,12.605999948000001
GAB,Gabon,266.0,20.66900063,20.72100067,20.74900055,20.74200058,21.97200012,20.97060051
GMB,Gambia,270.0,9.498000145,9.484999657,9.475999832,9.498000145,11.08100033,9.8076000218
GEO,Georgia,268.0,16.60000038,13.93999958,12.67000008,11.56999969,18.5,14.655999946
DEU,Germany,276.0,4.119999886,3.75,3.380000114,3.140000105,3.809999943,3.6400000096
GHA,Ghana,288.0,5.52699995,4.21999979,4.276000023,4.315999985,4.651000023,4.5979999542000005
GIB,Gibraltar,292.0,,,,,,
GRC,Greece,300.0,23.54000092,21.48999977,19.29000092,17.30999947,16.29999924,19.586000064
GRL,Greenland,304.0,,,,,,
GRD,Grenada,308.0,,,,,,
GUM,Guam,316.0,5.400000095,5.434999943,5.559000015,5.514999866,6.802000046,5.742199993
GTM,Guatemala,320.0,2.579999924,2.460000038,2.279999971,2.190000057,3.552999973,2.6125999926000003
GIN,Guinea,324.0,4.880000114,4.914000034,4.982999802,5.019999981,6.103000164,5.180000019
GNB,Guinea-Bissau,624.0,5.951000214,5.986000061,5.981999874,6.035999775,6.736999989,6.1383999826
GUY,Guyana,328.0,13.46399975,13.74600029,14.02000046,13.99199963,16.43099976,14.330599977999999
HTI,Haiti,332.0,13.92500019,13.87699986,13.85999966,13.91499996,15.45100021,14.205599976000002
HND,Honduras,340.0,6.730000019,5.53000021,5.650000095,5.699999809,8.373000145,6.3966000556
HKG,"China, Hong Kong SAR",344.0,3.390000105,3.130000114,2.819999933,2.930000067,5.829999924,3.6200000286
HUN,Hungary,348.0,5.110000134,4.159999847,3.710000038,3.420000076,4.25,4.130000019
ISL,Iceland,352.0,2.980000019,2.74000001,2.700000048,3.50999999,5.480000019,3.4820000172000007
IND,India,356.0,5.422999859,5.357999802,5.329999924,5.269999981,7.997000217,5.8755999566
IDN,Indonesia,360.0,4.300000191,3.880000114,4.400000095,3.619999886,4.28000021,4.096000099199999
IRN,Iran (Islamic Republic of),364.0,12.61999989,12.22999954,12.18999958,10.73999977,12.16899967,11.98979969
IRQ,Iraq,368.0,10.81999969,13.02000046,12.9659996,12.86299992,14.0880003,12.751399994
IRL,Ireland,372.0,8.369999886,6.710000038,5.739999771,4.949999809,5.619999886,6.277999878
IMN,Isle of Man,833.0,,,,,,
ISR,Israel,376.0,4.800000191,4.21999979,4.0,3.799999952,4.329999924,4.2299999714
ITA,Italy,380.0,11.68999958,11.21000004,10.60999966,9.949999809,9.159999847,10.523999787200001
JAM,Jamaica,388.0,13.18999958,11.63000011,9.100000381,7.690000057,9.479999542,10.217999934
JPN,Japan,392.0,3.099999905,2.799999952,2.400000095,2.400000095,2.799999952,2.6999999998
JOR,Jordan,400.0,15.27999973,18.13999939,18.27000046,16.80999947,19.02599907,17.505199624
KAZ,Kazakhstan,398.0,4.960000038,4.900000095,4.849999905,4.800000191,4.889999866,4.880000019
KEN,Kenya,404.0,2.75999999,3.513000011,4.249000072,5.010000229,5.729000092,4.2522000788
KIR,Kiribati,296.0,,,,,,
PRK,Democratic People's Republic of Korea,408.0,2.755000114,2.697999954,2.625999928,2.59100008,2.921000004,2.718200016
KOR,Republic of Korea,410.0,3.650000095,3.650000095,3.819999933,3.75,3.930000067,3.760000038
KWT,Kuwait,414.0,2.160000086,2.197000027,2.164999962,2.167000055,3.539000034,2.4456000328000003
KGZ,Kyrgyzstan,417.0,7.210000038,6.889999866,6.886000156,6.918000221,8.706000328,7.3220001218
LAO,Lao People's Democratic Republic,418.0,0.791999996,0.805000007,0.827000022,0.851999998,1.034000039,0.8620000124
LVA,Latvia,428.0,9.640000343,8.720000267,7.409999847,6.309999943,8.100000381,8.0360001562
LBN,Lebanon,422.0,9.782999992,10.27400017,10.79599953,11.35000038,13.29699993,11.1000000004
LSO,Lesotho,426.0,23.47500038,23.20000076,22.81299973,22.44000053,24.56299973,23.298200226
LBR,Liberia,430.0,3.079999924,3.049000025,3.029999971,3.015000105,3.980000019,3.2308000088
LBY,Libya,434.0,19.52799988,19.37100029,19.45499992,19.65500069,20.06599998,19.615000152
LIE,Liechtenstein,438.0,,,,,,
LTU,Lithuania,440.0,7.860000134,7.070000172,6.150000095,6.260000229,8.489999771,7.1660000802
LUX,Luxembourg,442.0,6.289999962,5.519999981,5.590000153,5.590000153,6.769999981,5.952000045999999
MAC,"China, Macao SAR",446.0,1.940000057,1.99000001,1.830000043,1.75,2.569999933,2.0160000086
MDG,Madagascar,450.0,1.804999948,1.822999954,1.843000054,1.856999993,2.473999977,1.9603999852
MWI,Malawi,454.0,5.816999912,5.760000229,5.757999897,5.751999855,6.701000214,5.9576000214
MYS,Malaysia,458.0,3.440000057,3.410000086,3.299999952,3.25999999,4.504000187,3.5828000544
MDV,Maldives,462.0,6.119999886,5.869999886,5.618999958,5.340000153,6.328000069,5.8553999904
MLI,Mali,466.0,7.570000172,7.409999847,7.427999973,7.441999912,7.696000099,7.509200000600001
MLT,Malta,470.0,4.690000057,4.0,3.660000086,3.619999886,4.260000229,4.0460000516
MHL,Marshall Islands,584.0,,,,,,
MRT,Mauritania,478.0,10.26099968,10.34000015,10.38500023,10.39299965,11.27000046,10.529800034
MUS,Mauritius,480.0,6.809999943,6.75,6.429999828,6.329999924,7.407000065,6.745399952
MEX,Mexico,484.0,3.859999895,3.420000076,3.279999971,3.480000019,4.449999809,3.697999954
FSM,Micronesia (Federated States of),583.0,,,,,,
MDA,Republic of Moldova,498.0,4.019999981,4.099999905,4.110000134,5.099999905,3.819999933,4.2299999716
MCO,Monaco,492.0,,,,,,
MNG,Mongolia,496.0,7.239999771,6.360000134,5.380000114,5.43900013,7.010000229,6.2858000756
MNE,Montenegro,499.0,17.71999931,16.06999969,15.17000008,15.11999989,17.89999962,16.395999718
MAR,Morocco,504.0,9.300000191,9.241999626,9.265000343,9.279999733,11.45400047,9.708200072599999
MOZ,Mozambique,508.0,3.447000027,3.450999975,3.45600009,3.46600008,3.809999943,3.5260000230000004
MMR,Myanmar,104.0,1.177000046,1.559999943,0.870000005,0.5,1.057999969,1.0329999926000002
NAM,Namibia,516.0,23.35000038,21.63899994,19.87999916,19.98800087,21.44599915,21.2605999
NRU,Nauru,520.0,,,,,,
NPL,Nepal,524.0,2.868000031,3.318000078,3.193000078,3.096999884,4.723999977,3.4400000096
NLD,Netherlands,528.0,6.010000229,4.840000153,3.829999924,3.380000114,3.819999933,4.3760000706
NCL,New Caledonia,540.0,14.69499969,14.78499985,14.84700012,14.90999985,16.42900085,15.133200072
NZL,New Zealand,554.0,5.150000095,4.739999771,4.329999924,4.110000134,4.590000153,4.584000015399999
NIC,Nicaragua,558.0,3.900000095,3.299999952,5.199999809,5.210999966,6.078000069,4.7377999782
NER,Niger,562.0,0.533999979,0.541999996,0.545000017,0.55400002,0.624000013,0.5598000049999999
NGA,Nigeria,566.0,7.059999943,8.390000343,8.456000328,8.529999733,9.713999748,8.430000019000001
MKD,North Macedonia,807.0,23.71999931,22.37999916,20.73999977,17.26000023,17.20000076,20.259999846
MNP,Northern Mariana Islands,580.0,,,,,,
NOR,Norway,578.0,4.679999828,4.159999847,3.799999952,3.690000057,4.420000076,4.149999952
OMN,Oman,512.0,3.269999981,2.565000057,1.799999952,1.84800005,2.940000057,2.4846000194
PAK,Pakistan,586.0,3.779000044,3.915999889,4.079999924,3.542000055,4.302999973,3.923999977
PLW,Palau,585.0,,,,,,
PAN,Panama,591.0,3.263000011,3.858999968,3.832999945,4.725999832,12.85400009,5.7069999692
PNG,Papua New Guinea,598.0,2.483999968,2.506999969,2.563999891,2.448999882,2.595000029,2.5197999477999997
PRY,Paraguay,600.0,5.25,4.610000134,6.21999979,6.590000153,7.550000191,6.0440000536
PER,Peru,604.0,3.74000001,3.690000057,3.49000001,3.380000114,7.179999828,4.296000003800001
PHL,Philippines,608.0,2.700000048,2.549999952,2.339999914,2.24000001,2.519999981,2.469999981
POL,Poland,616.0,6.159999847,4.889999866,3.849999905,3.279999971,3.160000086,4.267999935
PRT,Portugal,620.0,11.06999969,8.869999886,6.989999771,6.460000038,6.789999962,8.035999869399998
PRI,Puerto Rico,630.0,11.80000019,10.80000019,9.199999809,8.300000191,8.890000343,9.798000144600001
QAT,Qatar,634.0,0.150000006,0.140000001,0.109999999,0.100000001,0.214000002,0.14280000180000002
ROU,Romania,642.0,5.900000095,4.929999828,4.190000057,3.910000086,5.03000021,4.7920000552
RUS,Russian Federation,643.0,5.559999943,5.210000038,4.849999905,4.5,5.590000153,5.1420000078
RWA,Rwanda,646.0,1.144000053,1.136999965,1.110999942,1.09800005,1.485000014,1.1950000048000002
WSM,Samoa,882.0,8.30700016,8.578000069,8.68599987,8.406000137,9.149000168,8.6252000808
SMR,San Marino,674.0,,,,,,
STP,Sao Tome and Principe,678.0,13.89400005,13.97399998,14.06099987,14.14400005,15.74600029,14.363800048000002
SAU,Saudi Arabia,682.0,5.650000095,5.889999866,6.039999962,5.672999859,7.449999809,6.1405999182
SEN,Senegal,686.0,4.460000038,3.690000057,3.275000095,2.859999895,3.622999907,3.5815999984
SRB,Serbia,688.0,15.26000023,13.47999954,12.72999954,10.39000034,9.010000229,12.1739999758
SYC,Seychelles,690.0,,,,,,
SLE,Sierra Leone,694.0,4.663000107,4.663000107,4.659999847,4.649000168,5.195000172,4.7660000801999995
SGP,Singapore,702.0,4.079999924,4.199999809,3.642999887,3.099999905,4.099999905,3.824599886
SXM,Sint Maarten (Dutch part),534.0,,,,,,
SVK,Slovakia,703.0,9.670000076,8.130000114,6.539999962,5.75,6.690000057,7.3560000418
SVN,Slovenia,705.0,8.0,6.559999943,5.110000134,4.449999809,4.96999979,5.8179999352000005
SLB,Solomon Islands,90.0,0.698000014,0.707000017,0.723999977,0.754999995,0.916000009,0.7600000024
SOM,Somalia,706.0,18.88899994,18.88199997,18.85000038,18.82799911,19.72299957,19.034399794
ZAF,South Africa,710.0,26.54000092,27.04000092,26.90999985,28.46999931,29.21999931,27.636000062
SSD,South Sudan,728.0,12.29500008,12.25399971,12.23700047,12.22599983,14.02999973,12.608399964
ESP,Spain,724.0,19.62999916,17.21999931,15.25,14.10000038,15.52999973,16.345999716
LKA,Sri Lanka,144.0,4.239999771,4.050000191,4.320000172,4.349999905,5.877999783,4.5675999644
KNA,Saint Kitts and Nevis,659.0,,,,,,
LCA,Saint Lucia,662.0,19.64900017,18.86000061,19.07999992,15.31999969,16.8920002,17.960200118
MAF,Saint-Martin (French part),663.0,,,,,,
VCT,Saint Vincent and the Grenadines,670.0,19.11000061,19.18199921,19.18000031,19.28000069,21.00200081,19.550800326
SDN,Sudan,729.0,17.52000046,17.53300095,17.57999992,17.65399933,19.64900017,17.987200166
SUR,Suriname,740.0,7.920000076,7.903999805,7.926000118,8.039999962,9.777999878,8.313599967799998
SWE,Sweden,752.0,6.989999771,6.71999979,6.360000134,6.829999924,8.289999962,7.037999916199999
CHE,Switzerland,756.0,4.920000076,4.800000191,4.710000038,4.389999866,4.820000172,4.7280000686
SYR,Syrian Arab Republic,760.0,8.725000381,8.751999855,8.755000114,8.772999763,10.25699997,9.0524000166
TJK,Tajikistan,762.0,6.900000095,6.953999996,7.012000084,7.06099987,7.583000183,7.1020000456000005
TZA,United Republic of Tanzania,834.0,2.157999992,2.177000046,2.20600009,2.221999884,2.528000116,2.2582000256
THA,Thailand,764.0,0.689999998,0.829999983,0.769999981,0.720000029,1.100000024,0.822000003
TLS,Timor-Leste,626.0,4.659999847,4.760000229,4.730999947,4.505000114,4.90500021,4.712200069400001
TGO,Togo,768.0,2.96600008,3.74000001,3.729000092,3.719000101,3.944999933,3.6198000432
TON,Tonga,776.0,2.569000006,2.815000057,3.069999933,3.062000036,3.628000021,3.0288000106000004
TTO,Trinidad and Tobago,780.0,3.210000038,3.275000095,3.336999893,3.421999931,4.56799984,3.5623999593999995
TUN,Tunisia,788.0,15.56000042,15.32999992,15.46000004,15.13000011,16.59199905,15.614399908
TUR,Türkiye,792.0,10.84000015,10.81999969,10.89000034,13.67000008,13.10999966,11.865999984
TKM,Turkmenistan,795.0,4.169000149,4.203999996,4.234000206,4.268000126,4.951000214,4.3652001382000005
TCA,Turks and Caicos Islands,796.0,,,,,,
TUV,Tuvalu,798.0,,,,,,
UGA,Uganda,800.0,1.919999957,1.932000041,1.922999978,1.924999952,2.767999887,2.093599963
UKR,Ukraine,804.0,9.350000381,9.5,8.800000191,8.18999958,9.131999969,8.9944000242
ARE,United Arab Emirates,784.0,1.639999986,2.460000038,2.351999998,2.230000019,3.187999964,2.3740000009999997
GBR,United Kingdom of Great Britain and Northern Ireland,826.0,4.809999943,4.329999924,4.0,3.74000001,4.472000122,4.2703999998
USA,United States of America,840.0,4.869999886,4.360000134,3.900000095,3.670000076,8.050000191,4.9700000764
URY,Uruguay,858.0,7.840000153,7.889999866,8.340000153,8.880000114,10.35000038,8.6600001332
UZB,Uzbekistan,860.0,5.199999809,5.800000191,5.835000038,5.849999905,7.040999889,5.9451999664
VUT,Vanuatu,548.0,1.776000023,1.745000005,1.809000015,1.800999999,2.118999958,1.85
VEN,Venezuela (Bolivarian Republic of),862.0,5.320000172,5.050000191,5.021999836,5.096000195,6.626999855,5.4230000498
VNM,Viet Nam,704.0,1.850000024,1.870000005,1.159999967,2.039999962,2.390000105,1.8620000126
VIR,United States Virgin Islands,850.0,12.67700005,12.32499981,12.42599964,12.46800041,13.54500008,12.688199998
PSE,Palestine,275.0,23.94000053,25.68000031,26.26000023,25.34000015,25.88999939,25.422000122
YEM,Yemen,887.0,13.43299961,13.29699993,13.14500046,13.05599976,13.39099979,13.26439991
ZMB,Zambia,894.0,10.87199974,11.63000011,12.01000023,12.52000046,12.84799957,11.976000021999997
ZWE,Zimbabwe,716.0,4.788000107,4.784999847,4.796000004,4.833000183,5.350999832,4.9105999946
