Series Name,Series Code,Country Name,Country Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Comoros,COM,70.1,67.9,65.7,63.5,61.3
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,"Congo, Dem. Rep.",COD,92.8,89.6,86.6,83.8,81.2
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,"Congo, Rep.",COG,50.8,49.1,47.6,52.5,44.6
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Costa Rica,CRI,8.9,8.7,8.4,8.2,7.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Cote d'Ivoire,CIV,88.4,86,83.2,80.3,77.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Croatia,HRV,4.8,4.8,4.7,4.6,4.6
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Cuba,CUB,5.5,5.4,5.3,5.2,5.1
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Curacao,CUW,..,..,..,..,..
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Cyprus,CYP,2.9,2.8,2.8,2.8,2.8
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Czech Republic,CZE,3.2,3.2,3.1,3,2.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Denmark,DNK,4.1,4,3.9,3.7,3.6
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Djibouti,DJI,63.8,61.8,59.7,57.8,55.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Dominica,DMA,32.4,33.5,34.4,35,35.4
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Dominican Republic,DOM,35,34.9,34.8,34.4,33.8
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Ecuador,ECU,14.8,14.4,13.9,13.4,13
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,"Egypt, Arab Rep.",EGY,22.5,21.7,20.9,20.1,19.5
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,El Salvador,SLV,14.9,14.3,13.8,13.3,12.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Equatorial Guinea,GNQ,90,86.9,83.9,81.2,78.5
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Eritrea,ERI,44.8,43.3,41.9,40.6,39.3
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Estonia,EST,2.8,2.6,2.4,2.3,2.1
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Eswatini,SWZ,55.6,57.9,52.2,48,46.6
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Ethiopia,ETH,59,55.9,53.2,50.8,48.7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Faroe Islands,FRO,..,..,..,..,..
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Fiji,FJI,24.9,25.5,26.2,26.9,27.4
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Finland,FIN,2.4,2.4,2.4,2.3,2.3
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,France,FRA,4.2,4.3,4.3,4.3,4.4
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,French Polynesia,PYF,..,..,..,..,..
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Gabon,GAB,47.4,45.5,44.1,43,41.7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,"Gambia, The",GMB,57.4,55.1,53.1,51.2,49.4
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Georgia,GEO,10.2,9.9,9.7,9.5,9.3
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Germany,DEU,3.9,3.9,3.8,3.7,3.7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Ghana,GHA,52.2,50.1,48.1,46.4,44.7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Gibraltar,GIB,..,..,..,..,..
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Greece,GRC,4.4,4.3,4.2,4.2,4.1
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Greenland,GRL,..,..,..,..,..
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Grenada,GRD,16.4,16.6,16.6,16.5,16.4
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Guam,GUM,..,..,..,..,..
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Guatemala,GTM,27.3,26.4,25.4,24.5,23.6
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Guinea,GIN,104.6,102.6,100.4,98,95.6
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Guinea-Bissau,GNB,88.7,85.5,82.5,79.6,76.8
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Guyana,GUY,32.1,31.2,30.2,29.3,28.4
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Haiti,HTI,67.9,66,64.1,62.2,60.5
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Honduras,HND,18.6,18,17.4,16.8,16.2
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,"Hong Kong SAR, China",HKG,..,..,..,..,..
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Hungary,HUN,4.7,4.4,4.2,4.1,4
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Iceland,ISL,2.2,2.1,2.1,2,1.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,India,IND,41,38.6,36.3,34.4,32.6
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Indonesia,IDN,26.6,25.6,24.6,23.8,23
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,"Iran, Islamic Rep.",IRN,14.9,14.4,13.9,13.4,12.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Iraq,IRQ,28.8,27.9,27,26.1,25.2
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Ireland,IRL,3.6,3.4,3.3,3.2,3
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Isle of Man,IMN,..,..,..,..,..
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Israel,ISR,3.8,3.8,3.7,3.6,3.6
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Italy,ITA,3.4,3.3,3.2,3,2.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Jamaica,JAM,15.1,14.6,14.2,13.7,13.3
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Japan,JPN,2.7,2.6,2.6,2.5,2.5
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Jordan,JOR,17,16.4,16,15.5,15
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Kazakhstan,KAZ,11,10.5,10.3,10.1,10
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Kenya,KEN,47.2,45.9,44.3,43,41.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Kiribati,KIR,56,54.5,52.8,51.2,49.6
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,"Korea, Dem. People's Rep.",PRK,20,19,18.2,17.3,16.5
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,"Korea, Rep.",KOR,3.4,3.3,3.2,3.1,3
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Kosovo,XKX,..,..,..,..,..
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Kuwait,KWT,8.7,8.7,8.7,8.8,8.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Kyrgyz Republic,KGZ,21.2,20.1,19.2,18.3,17.5
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Lao PDR,LAO,51.5,49.4,47.5,45.7,44.1
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Latvia,LVA,4.7,4.4,4.2,4.1,4
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Lebanon,LBN,8,7.7,7.4,7.2,7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Lesotho,LSO,91.5,91,90.6,90.9,89.5
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Liberia,LBR,86.1,84.3,82.5,80.4,78.3
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Libya,LBY,12.8,12.3,11.9,11.5,11.1
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Liechtenstein,LIE,..,..,..,..,..
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Lithuania,LTU,4.8,4.4,4,3.6,3.3
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Luxembourg,LUX,2.8,2.8,2.8,2.8,2.8
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,"Macao SAR, China",MAC,..,..,..,..,..
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Madagascar,MDG,57.2,55.5,53.7,51.9,50.2
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Malawi,MWI,49.5,46.2,43.1,40.6,38.6
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Malaysia,MYS,8.1,8.3,8.4,8.6,8.6
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Maldives,MDV,9,8.3,7.6,7,6.5
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Mali,MLI,104.5,100.9,97.4,94.2,91
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Malta,MLT,6.6,6.6,6.5,6.5,6.5
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Marshall Islands,MHL,34.4,33.5,32.5,31.6,30.7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Mauritania,MRT,80.1,77.7,75.5,73,70.7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Mauritius,MUS,14.5,14.9,15.4,16,16.5
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Mexico,MEX,15.7,15.2,14.6,14.1,13.7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,"Micronesia, Fed. Sts.",FSM,28,27,26.2,25.4,24.7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Moldova,MDA,15.5,15.3,15,14.8,14.5
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Monaco,MCO,3.4,3.3,3.2,3.1,3
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Mongolia,MNG,18.5,17.6,16.8,16,15.4
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Montenegro,MNE,3.6,3.2,2.9,2.6,2.4
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Morocco,MAR,22.3,21.2,20.3,19.5,18.7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Mozambique,MOZ,80.4,78,75.6,72.9,70.6
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Myanmar,MMR,50.3,48.5,46.8,45.2,43.7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Namibia,NAM,46.3,44.9,43.9,41.9,40.2
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Nauru,NRU,32.3,31.3,30.4,29.5,28.5
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Nepal,NPL,33.7,32.1,30.6,29.3,28.2
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Netherlands,NLD,4,4,4.1,4.1,4.2
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,New Caledonia,NCL,..,..,..,..,..
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,New Zealand,NZL,5.4,5.2,5,4.9,4.7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Nicaragua,NIC,18.6,17.9,17.3,16.6,16
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Niger,NER,90.1,86.6,83.5,80.3,77.5
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Nigeria,NGA,124.7,122.5,119.9,116.9,113.8
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,North Macedonia,MKD,10.9,9.6,8.1,6.8,5.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Northern Mariana Islands,MNP,..,..,..,..,..
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Norway,NOR,2.6,2.5,2.4,2.3,2.2
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Oman,OMN,11.2,11.2,11.1,11.1,11
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Pakistan,PAK,73.8,71.6,69.5,67.3,65.2
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Palau,PLW,19.2,18.6,18,17.4,16.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Panama,PAN,16.4,15.9,15.4,14.8,14.3
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Papua New Guinea,PNG,49.7,48.2,46.8,45.3,43.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Paraguay,PRY,21.6,20.9,20.2,19.5,18.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Peru,PER,15,14.4,13.8,13.3,12.8
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Philippines,PHL,29.1,28.5,27.9,27.1,26.4
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Poland,POL,4.7,4.6,4.5,4.4,4.4
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Portugal,PRT,3.6,3.6,3.6,3.4,3.3
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Puerto Rico,PRI,..,..,..,..,..
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Qatar,QAT,7.4,7,6.6,6.1,5.8
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Romania,ROU,8.5,7.9,7.4,7.1,6.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Russian Federation,RUS,7.5,6.9,6.3,5.8,5.4
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Rwanda,RWA,46,44.6,43.4,41.9,40.5
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Samoa,WSM,18.4,18.1,17.8,17.4,17
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,San Marino,SMR,2.1,2,1.9,1.8,1.8
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Sao Tome and Principe,STP,21.2,19.5,18.1,17,16.1
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Saudi Arabia,SAU,8.6,8.1,7.7,7.3,7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Senegal,SEN,46.5,44,41.7,39.7,38.1
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Serbia,SRB,6,5.9,5.8,5.7,5.6
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Seychelles,SYC,14.8,14.7,14.5,14.3,13.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Sierra Leone,SLE,125.4,120.7,116.2,111.9,107.8
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Singapore,SGP,2.7,2.6,2.5,2.4,2.2
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Sint Maarten (Dutch part),SXM,..,..,..,..,..
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Slovak Republic,SVK,6.1,6,5.9,5.8,5.8
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Slovenia,SVN,2.5,2.4,2.3,2.3,2.2
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Solomon Islands,SLB,22,21.4,20.7,20,19.4
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Somalia,SOM,130.3,126.1,122,118.3,114.6
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,South Africa,ZAF,35.2,34.6,33.9,33,32.2
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,South Sudan,SSD,97.9,97.9,97.9,97.9,97.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Spain,ESP,3.3,3.3,3.3,3.3,3.2
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Sri Lanka,LKA,8.2,7.8,7.5,7.2,6.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,St. Kitts and Nevis,KNA,16.6,16.2,15.8,15.4,15
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,St. Lucia,LCA,22.4,23,23.5,24,24.4
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,St. Martin (French part),MAF,..,..,..,..,..
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,St. Vincent and the Grenadines,VCT,16.2,15.6,15.1,14.6,14.1
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Sudan,SDN,63.9,62,60.1,58.4,56.6
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Suriname,SUR,19.8,19.3,18.7,18.1,17.6
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Sweden,SWE,2.8,2.8,2.7,2.7,2.6
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Switzerland,CHE,4.2,4.2,4.1,4,4
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Syrian Arab Republic,SYR,39.5,23.5,23.4,22.2,22.4
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Tajikistan,TJK,36.5,35.3,34.3,33.3,32.3
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Tanzania,TZA,56,54.1,52.1,50.5,48.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Thailand,THA,10.3,9.9,9.4,9,8.7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Timor-Leste,TLS,48.4,46.8,45.1,43.7,42.3
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Togo,TGO,73.4,71.1,68.8,66.5,64.4
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Tonga,TON,12.3,12.1,11.9,11.7,11.4
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Trinidad and Tobago,TTO,18.8,18.3,17.7,17.2,16.6
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Tunisia,TUN,17.1,17.1,17,16.9,16.6
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Turkiye,TUR,12.1,11.4,10.7,10.1,9.5
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Turkmenistan,TKM,42.5,42.9,42.8,42.4,41.8
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Turks and Caicos Islands,TCA,..,..,..,..,..
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Tuvalu,TUV,25.1,24.3,23.5,22.7,22
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Uganda,UGA,52.4,49.9,47.4,45.3,43.3
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Ukraine,UKR,9.2,8.9,8.6,8.4,8.1
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,United Arab Emirates,ARE,7.4,7.2,7,6.8,6.6
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,United Kingdom,GBR,4.4,4.4,4.3,4.3,4.2
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,United States,USA,6.7,6.6,6.5,6.4,6.3
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Uruguay,URY,8.4,7.8,7.3,6.7,6.2
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Uzbekistan,UZB,18,16.8,15.8,14.8,13.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Vanuatu,VUT,27.6,26.9,26.3,25.6,24.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,"Venezuela, RB",VEN,24.2,24.2,24.2,24.2,24.2
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Vietnam,VNM,21.6,21.4,21.3,21.1,20.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Virgin Islands (U.S.),VIR,..,..,..,..,..
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,West Bank and Gaza,PSE,18.6,18.1,17.5,17,16.5
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,"Yemen, Rep.",YEM,60.3,60.2,61.6,61.5,59.6
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Zambia,ZMB,65.3,64.6,65.4,64.1,61.4
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Zimbabwe,ZWE,58.7,57,54.8,54.2,53.9
